Month,Day,"Time
(hour)",(T_oa-db),(T_ra),(V_ma),(V_oa),(V_ra),(T_ma)," Q
(kW)",(T_ahc),T_sa
1,2,1,-7.777777778,21.71844444,2.705513982,0.672628653,2.032885329,14.38527778,38.6115,25.9376585,27.7376585
1,2,2,-8.333333333,21.70783333,2.705513982,0.672628653,2.032885329,14.23916667,39.0783,25.92527045,27.72527045
1,2,3,-8.333333333,21.69983333,2.705513982,0.672628653,2.032885329,14.23316667,39.9419,26.17727488,27.97727488
1,2,4,-8.333333333,21.694,2.705513982,0.672628653,2.032885329,14.22877778,40.0311,26.19937728,27.99937728
1,2,5,-8.888888889,21.68927778,2.705513982,0.672628653,2.032885329,14.08711111,40.6522,26.23744709,28.03744709
1,2,6,-8.888888889,21.68144444,2.705513982,0.672628653,2.032885329,14.08122222,41.07,26.35618072,28.15618072
1,2,7,-8.888888889,21.67833333,2.705513982,0.672628653,2.032885329,14.07888889,41.3216,26.42894501,28.22894501
1,2,8,-8.888888889,21.67711111,2.705513982,0.672628653,2.032885329,14.07794444,41.4575,26.46857714,28.26857714
1,2,9,-8.333333333,21.69066667,2.705513982,0.672628653,2.032885329,14.22627778,39.4844,26.0332935,27.8332935
1,2,10,-8.888888889,21.73911111,2.705513982,0.672628653,2.032885329,14.12455556,34.2411,24.36004354,26.16004354
1,2,11,-8.333333333,21.78833333,2.705513982,0.672628653,2.032885329,14.29966667,31.8051,23.81277096,25.61277096
1,2,12,-7.777777778,21.80205556,2.705513982,0.672628653,2.032885329,14.44805556,31.8653,23.98408625,25.78408625
1,2,13,-7.777777778,21.80833333,2.705513982,0.672628653,2.032885329,14.45277778,30.4315,23.55987807,25.35987807
1,2,14,-7.777777778,21.79038889,2.705513982,0.672628653,2.032885329,14.43933333,34.527,24.77159276,26.57159276
1,2,15,-8.333333333,21.74627778,2.705513982,0.672628653,2.032885329,14.26805556,37.1167,25.36867175,27.16867175
1,2,16,-7.222222222,21.72527778,2.705513982,0.672628653,2.032885329,14.5285,38.0613,25.92193573,27.72193573
1,2,17,-7.222222222,21.71577778,2.705513982,0.672628653,2.032885329,14.52138889,38.976,26.1883465,27.9883465
1,2,18,-6.666666667,21.71277778,2.705513982,0.672628653,2.032885329,14.65727778,38.7434,26.26008791,28.06008791
1,2,19,-6.111111111,21.71894444,2.705513982,0.672628653,2.032885329,14.8,38.281,26.27001644,28.07001644
